Name	Set	ImageFile	Type	Attribute	Level	ATK	DEF	Limit	Format	Text
Uzumaki Naruto	5DS1	NarutoUzumaki	Konohagakure Genin	Wind	3	1000	900	3		"¡Yo jamas me rindo, y jamas retrocedere a mi palabra, ese es mi camino ninja!
Uzumaki Naruto Effect	5DS1	NarutoUzumakiEfecto	Konohagakure Genin/Efecto	Wind	4	1200	1100	3		Puedes activar este efecto una vez por turno. Roba hasta 2 cartas de la parte superior de tu mazo y añadelas a tu mano.
Bomba de humo	5DS1	BombaDeHumo	Normal Trap					3		Cuando un ninja del oponente declara un ataque, puedes activar esta carta. Niega el ataque, y si lo haces, finaliza la Battle Phase. Regresa la carta de ninja seleccionada como objetivo del ataque a tu mano.
Kyodai Sensu	ABPF	abanico	Equip Spell					1		Equipa esta carta unicamente a "Sabaku no Temari". Incrementa su ATK y su DEF en 600 puntos. Una vez por turno, puedes traer desde tu mazo a tu mano, 1 "Kamaitachi no Jutsu". Mezcla el mazo posteriormente.
Kunai	5DS1	kunai	Equip Spell					3		Un ninja equipado con esta carta aumenta su ATK en 400 puntos. Sólo puedes equipar 1 "Kunai" por ninja.
Uchiha Sasuke Effect	5DS1	SasukeUchihaEfecto	Konohagakure Genin/Efecto	Fire	4	1300	1150	3		Puedes activar este efecto una vez por turno. Selecciona una carta boca abajo en la zona de cartas mágicas/trampa del oponente. Espiala, y luego devuélvela a su posicion original. El efecto de la carta no se activa.
Uchiha Sasuke	5DS1	SasukeUchiha	Konohagakure Genin	Fire	3	1100	950	3		"Mi nombre es Sasuke Uchiha. Me disgustan muchas cosas y no me gusta nada en particular. Lo que yo tengo no es un sueño, porque va a convertirse en realidad. Voy a restablecer mi clan y a destruir a alguien en específico".
Yamanaka Ino	5DS1	InoYamanaka	Konohagakure Genin	Light	3	800	950	3		"Eres solo un capullo esperando florecer" 
Haruno Sakura	5DS1	SakuraHaruno	Konohagakure Genin	Light	3	990	900	3		"Siempre me he considerado a mi misma un verdadero ninja... pero eran solo palabras vacias."
Haruno Sakura lvl 5	5DS1	SakuraHarunoEfecto	Konohagakure Genin/Efecto	Light	5	1150	1000	3		Esta carta gana 100 puntos de ATK y DEF por cada carta de "Uzumaki Naruto" y "Uchiha Sasuke" en tu lado del campo.
Kawarimi no Jutsu	5DS1	kawarimi	Quick-play Spell					3		Cuando un ninja de "Konohagakure" que controlas es declarado como objetivo del ataque de un ninja en el campo de tu oponente, puedes activar esta carta. Niega el ataque, y si lo haces, el ninja atacado regresa a la mano de su respectivo dueño junto con todas las cartas equipadas a él.
Inuzuka Kiba	5DS1	KibaInuzuka	Konohagakure Genin	Earth	4	1050	1100	3		"¡Yahoo! ¡Akamaru, vamos adelante!" 
Inuzuka Kiba Effect	5DS1	KibaInuzukaEfecto	Konohagakure Genin/Efecto	Earth	4	1300	1500	3		Cuando esta carta es invocada de modo normal con éxito, puedes invocar de modo especial una carta de "Akamaru" desde tu mano.
